disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,projectSize,county,countyCode,state,stateCode,stateNumberCode,projectAmount,federalShareObligated,totalObligated,obligatedDate,mitigationAmount,dcc,damageCategory,lastRefresh,hash,id
4482,2020-03-22T00:00:00.000Z,Biological,839,Memorial Health Services  FEMA Application COVID - 19 Expenses March thru May 2020,059-UJFVX-00,B - Emergency Protective Measures,Large,Orange County,59,California,CA,6,8832672.0,8832672.0,8832672.0,2023-07-19T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-20T15:02:16.829Z,0f7fc42e9cac754c1b464f9f404cd4f74c0a87f7,7accadca-b88f-4829-8320-da2adab03f45
4482,2020-03-22T00:00:00.000Z,Biological,2599,"KFH CA March 1, 2020 to June 30, 2022 COVID-19 Medical Equipment Project",000-UZ2M2-00,B - Emergency Protective Measures,Large,Statewide,1,California,CA,6,3035416.93,3035416.93,3035416.93,2024-07-01T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-20T15:02:16.829Z,27ae6800f416ccb3983438314435e18a88853de0,145f7999-98c6-42f4-a446-b578bdcffb83
4482,2020-03-22T00:00:00.000Z,Biological,3734,"City of Los Angeles-PRK Non-Congregate Sheltering Expenditures (January 2 ¿ February 12, 2022)",037-44000-00,B - Emergency Protective Measures,Large,Los Angeles County,37,California,CA,6,17016608.35,17016608.35,17016608.35,2024-11-28T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-20T15:02:16.829Z,4048b15226fa56bd32d4fb6e56303a271c96130b,fabdf5fc-8d56-4261-bb89-6a6d2fd29568
4635,2022-01-05T00:00:00.000Z,Mud/Landslide,415,Tenant Lake Boardwalk -- Whatcom County,000-UO3NH-00,"G - Parks, Recreational Facilities, and Other Items",Large,Statewide,67,Washington,WA,53,1406265.1,1265638.59,1265638.59,2025-04-19T00:00:00.000Z,69268.29,G,"Parks, Recreational Facilities, and Other Items",2025-04-20T15:02:16.829Z,ea1e3c58fc0a1d13985b054c845af901a37fbb61,f75107aa-56d9-43be-99bd-69f76f113506
4650,2022-03-29T00:00:00.000Z,Severe Storm(s),201,Kalama Falls Hatchery / Cowlitz County,000-UO3NH-00,"G - Parks, Recreational Facilities, and Other Items",Small,Statewide,67,Washington,WA,53,4440.89,3996.81,3996.81,2025-04-19T00:00:00.000Z,0.0,G,"Parks, Recreational Facilities, and Other Items",2025-04-20T15:02:16.829Z,4b218bf40bcbd80cdb55834ba4d42d148ce8d07a,ac1ec29f-6017-403c-8a57-c0607b080c76
1607,2005-09-24T00:00:00.000Z,Hurricane,1109,(PW# 1109) REPLACEMENT WATER METERS,023-UEKCC-00,F - Utilities,Small,Calcasieu Parish,19,Louisiana,LA,22,47234.0,47234.0,47234.0,2007-06-17T00:00:00.000Z,0.0,F,Utilities,2025-04-21T15:02:39.229Z,8bdcee35d15c3201b4bfdb5fbe8ffc33d6a19e63,95971866-58d7-4fa6-83b4-e976a093cfe2
1786,2008-09-02T00:00:00.000Z,Hurricane,2413,(PW# 2413) GV00094 - Grand Isle Fire Station 99 - Contents,051-06E41-00,E - Buildings and Equipment,Small,Jefferson Parish,51,Louisiana,LA,22,12970.0,11673.0,11673.0,2009-08-07T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-04-21T15:02:39.229Z,f4ce498857efd6421647380edd364a93094c7fce,7e3b10a0-5758-4556-b9ad-58703829cb00
1607,2005-09-24T00:00:00.000Z,Hurricane,2499,(PW# 2499) ECA 0254 VINTON ELEMENTARY SCHOOL,019-UZAJ3-00,E - Buildings and Equipment,Large,Calcasieu Parish,19,Louisiana,LA,22,129024.5,129024.5,129024.5,2012-11-28T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-04-21T15:02:39.229Z,61beaebc16a5ea4b85f336e1b5355a7916c33c31,d837acb4-bf9d-4dfe-828b-f0b402667ae1
1607,2005-09-24T00:00:00.000Z,Hurricane,935,(PW# 935) WATER AND SEWER MAINTENANCE GARAGE,019-80815-00,E - Buildings and Equipment,Small,Calcasieu Parish,19,Louisiana,LA,22,13426.48,13426.48,13426.48,2013-01-11T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-04-21T15:02:39.229Z,425d85407ad6dee4760d3af6425b587c1accfa97,035f17ad-8772-4e5f-aec7-72d3eee26bd5
1604,2005-08-29T00:00:00.000Z,Hurricane,7347,(PW# 7347) WATER LINE REPAIRS,035-31020-00,F - Utilities,Small,Forrest County,35,Mississippi,MS,28,4516.51,4516.51,4516.51,2007-07-02T00:00:00.000Z,0.0,F,Utilities,2025-04-21T15:02:39.229Z,67a0c8e7d0bc46d23ee3e0f38437923d0e11c66c,6bff79a9-6509-471a-8434-13a6fcd7606e
